,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Date,Team,Opponent
108,Theo Walcott,11.0,eng ENG,CM,83,0,0,0,0,1,0,0,0,34,15,1,1,4,0.1,0.1,0.1,2,0,14,21,66.7,63,24,58,2,3,07/20/20,Everton,Sheffield Utd
109,Anthony Gordon,42.0,eng ENG,CM,7,0,0,0,0,0,0,0,0,2,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,32,1,1,07/20/20,Everton,Sheffield Utd
110,Tom Davies,26.0,eng ENG,DM,90,0,0,0,0,0,0,1,0,49,13,1,2,3,0.0,0.0,0.0,0,0,23,37,62.2,95,30,126,0,2,07/20/20,Everton,Sheffield Utd
111,Andre Gomes,21.0,pt POR,DM,90,0,0,0,0,1,0,0,0,47,23,0,1,3,0.0,0.0,0.0,2,1,36,42,85.7,235,34,36,1,1,07/20/20,Everton,Sheffield Utd
112,Lucas Digne,12.0,fr FRA,LB,90,0,0,0,0,0,0,0,0,70,11,0,2,3,0.0,0.0,0.0,1,0,46,61,75.4,351,29,67,1,3,07/20/20,Everton,Sheffield Utd
113,Jarrad Branthwaite,32.0,eng ENG,CB,90,0,0,0,0,0,0,0,0,60,6,1,0,1,0.0,0.0,0.0,0,0,42,54,77.8,288,35,66,0,0,07/20/20,Everton,Sheffield Utd
114,Michael Keane,5.0,eng ENG,CB,90,0,0,0,0,0,0,0,0,85,10,1,0,3,0.0,0.0,0.0,0,0,57,66,86.4,312,45,83,0,0,07/20/20,Everton,Sheffield Utd
115,Djibril Sidibe,19.0,fr FRA,RB,90,0,0,0,0,0,0,0,0,78,9,1,2,4,0.0,0.0,0.0,0,0,62,69,89.9,482,52,217,0,0,07/20/20,Everton,Sheffield Utd
116,Jordan Pickford,1.0,eng ENG,GK,90,0,0,0,0,0,0,0,0,57,0,0,0,0,0.0,0.0,0.1,1,0,40,55,72.7,657,32,63,0,0,07/20/20,Everton,Sheffield Utd
117,Neal Maupay,7.0,fr FRA,FW,72,0,0,0,0,2,0,0,0,23,13,1,0,2,0.1,0.1,0.1,4,0,10,15,66.7,21,14,37,1,2,07/20/20,Brighton,Newcastle Utd
