,Pos,avg_war_won,total_war_won,pos_war_lost,total_war_lost,total_player_war
Matteo Guendouzi,M,-0.17720000000000002,-3.0124000000000004,-0.10659999999999997,-2.2385999999999995,-5.2509999999999994
Davy Propper,M,-0.14479999999999998,-4.6335999999999995,-0.10659999999999997,-0.6395999999999998,-5.273199999999999
Jack Stephens,D,-0.1594,-4.3038,-0.09039999999999998,-0.9943999999999997,-5.2982
Lukas Rupp,M,-0.26339999999999997,-2.1071999999999997,-0.10659999999999997,-3.197999999999999,-5.305199999999999
Martin Kelly,D,-0.2022,-3.4374,-0.09039999999999998,-1.8983999999999996,-5.335799999999999
James Tomkins,D,-0.196,-3.528,-0.09039999999999998,-1.8079999999999996,-5.335999999999999
Matt Targett,D,-0.1668,-4.17,-0.09039999999999998,-1.1751999999999998,-5.3452
Matthew Longstaff,M,-0.326,-1.956,-0.10659999999999997,-3.411199999999999,-5.367199999999999
Sead Kolasinac,D,-0.19219999999999998,-3.6517999999999997,-0.09039999999999998,-1.7175999999999996,-5.369399999999999
Josh Brownhill,M,-0.2548,-2.2932,-0.10659999999999997,-3.0913999999999993,-5.384599999999999
Mason Holgate,D,-0.173,-4.151999999999999,-0.09039999999999998,-1.2655999999999996,-5.417599999999998
Christian Kabasele,D,-0.1674,-4.352399999999999,-0.09039999999999998,-1.0847999999999998,-5.437199999999999
Gary Cahill,D,-0.17099999999999999,-4.2749999999999995,-0.09039999999999998,-1.1751999999999998,-5.450199999999999
Jesse Lingard,M,-0.26280000000000003,-2.3652,-0.10659999999999997,-3.0913999999999993,-5.4566
Joel Ward,D,-0.1654,-4.4658,-0.09039999999999998,-0.9943999999999997,-5.4601999999999995
Sean Longstaff,M,-0.2076,-2.9064,-0.10659999999999997,-2.5583999999999993,-5.464799999999999
Lewis Cook,M,-0.2102,-2.9428,-0.10659999999999997,-2.5583999999999993,-5.501199999999999
Jairo Riedewald,M,-0.31679999999999997,-2.2176,-0.10659999999999997,-3.3045999999999993,-5.5222
James McArthur,M,-0.14639999999999997,-5.416799999999999,-0.10659999999999997,-0.10659999999999997,-5.5234
Fabinho,M,-0.1748,-3.8456,-0.10659999999999997,-1.7055999999999996,-5.5512
Nathaniel Chalobah,M,-0.26639999999999997,-2.6639999999999997,-0.10659999999999997,-2.984799999999999,-5.648799999999999
Danny Welbeck,F,-0.1276,-1.0208,-0.15460000000000002,-4.638000000000001,-5.658800000000001
Eddie Nketiah,F,-0.123,-0.738,-0.15460000000000002,-4.9472000000000005,-5.6852
Daniel Drinkwater,M,-0.4404,-2.202,-0.10659999999999997,-3.517799999999999,-5.719799999999999
Sokratis,D,-0.2122,-4.0318,-0.09039999999999998,-1.7175999999999996,-5.7494
Fabian Delph,M,-0.2374,-3.0862,-0.10659999999999997,-2.664999999999999,-5.751199999999999
Craig Dawson,D,-0.17980000000000002,-4.6748,-0.09039999999999998,-1.0847999999999998,-5.7596
Dwight Gayle,F,-0.15000000000000002,-1.5000000000000002,-0.15460000000000002,-4.3288,-5.8288
Javier Manquillo,D,-0.2234,-4.021199999999999,-0.09039999999999998,-1.8079999999999996,-5.829199999999999
Dennis Praet,M,-0.25780000000000003,-3.0936000000000003,-0.10659999999999997,-2.7715999999999994,-5.8652
Ciaran Clark,D,-0.2652,-3.7127999999999997,-0.09039999999999998,-2.1695999999999995,-5.882399999999999
Adam Smith,D,-0.19319999999999998,-4.636799999999999,-0.09039999999999998,-1.2655999999999996,-5.902399999999998
