,Pos,avg_war_won,total_war_won,pos_war_lost,total_war_lost,total_player_war
Billy Sharp,F,-0.07100000000000001,-0.5680000000000001,-0.029000000000000026,-0.8700000000000008,-1.4380000000000008
Jesse Lingard,M,-0.06,-0.54,-0.031000000000000028,-0.8990000000000008,-1.439000000000001
Martin Montoya,D,-0.044999999999999984,-1.0349999999999997,-0.027000000000000024,-0.40500000000000036,-1.44
Victor Lindelof,D,-0.03899999999999998,-1.3649999999999993,-0.027000000000000024,-0.08100000000000007,-1.4459999999999993
Bjorn Engels,D,-0.05499999999999999,-0.825,-0.027000000000000024,-0.6210000000000006,-1.4460000000000006
Andre Gomes,M,-0.046999999999999986,-0.7989999999999997,-0.031000000000000028,-0.6510000000000006,-1.4500000000000002
Lukas Rupp,M,-0.065,-0.52,-0.031000000000000028,-0.9300000000000008,-1.4500000000000008
Christoph Zimmermann,D,-0.05399999999999999,-0.8639999999999999,-0.027000000000000024,-0.5940000000000005,-1.4580000000000004
Che Adams,F,-0.059,-0.708,-0.029000000000000026,-0.7540000000000007,-1.4620000000000006
Mbwana Samatta,F,-0.062,-0.6819999999999999,-0.029000000000000026,-0.7830000000000007,-1.4650000000000007
Will Hughes,M,-0.04199999999999998,-1.1339999999999995,-0.031000000000000028,-0.3410000000000003,-1.4749999999999996
Harry Wilson,M,-0.045999999999999985,-0.9199999999999997,-0.031000000000000028,-0.5580000000000005,-1.4780000000000002
Nemanja Matic,M,-0.04799999999999999,-0.8639999999999998,-0.031000000000000028,-0.6200000000000006,-1.4840000000000004
Jairo Riedewald,M,-0.07600000000000001,-0.532,-0.031000000000000028,-0.9610000000000009,-1.4930000000000008
Glenn Murray,F,-0.08500000000000002,-0.5950000000000002,-0.029000000000000026,-0.8990000000000008,-1.494000000000001
Josip Drmic,F,-0.10799999999999998,-0.5399999999999999,-0.029000000000000026,-0.9570000000000008,-1.4970000000000008
Kiko Femenia,D,-0.045999999999999985,-1.1959999999999997,-0.027000000000000024,-0.3240000000000003,-1.52
Josh Brownhill,M,-0.069,-0.621,-0.031000000000000028,-0.8990000000000008,-1.520000000000001
Lewis Cook,M,-0.055999999999999994,-0.7839999999999999,-0.031000000000000028,-0.7440000000000007,-1.5280000000000005
Mason Holgate,D,-0.04799999999999999,-1.1519999999999997,-0.027000000000000024,-0.37800000000000034,-1.53
Ciaran Clark,D,-0.063,-0.882,-0.027000000000000024,-0.6480000000000006,-1.5300000000000007
Joel Ward,D,-0.045999999999999985,-1.2419999999999995,-0.027000000000000024,-0.29700000000000026,-1.5389999999999997
Daniel Drinkwater,M,-0.10399999999999998,-0.5199999999999999,-0.031000000000000028,-1.023000000000001,-1.543000000000001
Theo Walcott,F,-0.05499999999999999,-0.9349999999999998,-0.029000000000000026,-0.6090000000000005,-1.5440000000000005
Joseph Willock,M,-0.08400000000000002,-0.5880000000000001,-0.031000000000000028,-0.9610000000000009,-1.5490000000000008
Kieran Tierney,D,-0.07600000000000001,-0.8360000000000001,-0.027000000000000024,-0.7290000000000006,-1.5650000000000008
Chris Wood,F,-0.044999999999999984,-1.3049999999999995,-0.029000000000000026,-0.26100000000000023,-1.5659999999999998
Dan Gosling,M,-0.059,-0.826,-0.031000000000000028,-0.7440000000000007,-1.5700000000000007
